review_id,review_text,sentiment_label,sentiment_score,bank,rating,clean_text,theme,translated_review
4,v.good app,positive,0.9952701926231384,CBE,4,app,Other,v.good app
7,Best,positive,0.9997941851615906,CBE,5,well,Other,Best
9,More than garrantty bank EBC.,positive,0.9971959590911864,CBE,4,garrantty bank ebc,Other,More Than Garrantty Bank EBC.
19,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,negative,0.9616847634315492,CBE,4,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,Other,"The name of our account is the name of our account, but the Apple Accounts will be rejected when the Apple Accounts starts MR"
20,best,positive,0.9997941851615906,CBE,5,well,Other,best
25,very niec,positive,0.5192620754241943,CBE,5,niec,Other,very niec
27,yetemeta,positive,0.6553664803504944,CBE,1,yetemeta,Other,YETEMETA
36,Masha alla,negative,0.9514626860618592,CBE,5,masha alla,Other,Masha all
40,malkaamuu Jiidhaa Namoo,negative,0.9887813329696656,CBE,5,malkaamuu jiidhaa namoo,Other,Malkaamuu wet people
43,Keep it up My CBE,positive,0.9996104836463928,CBE,5,cbe,Other,Keep it up My CBE
46,i like everything of this app,positive,0.9996908903121948,CBE,5,like app,Other,i like everything of this app
53,Ronaldo 🇵🇹 🥇,positive,0.9948286414146424,CBE,5,ronaldo,Other,Ronaldo 🇵🇹 🥇
56,mortuary app,negative,0.7924914956092834,CBE,5,mortuary app,Other,mortuary app
62,its not fast,negative,0.9949808716773988,CBE,1,fast,Other,its not fast
66,ok,positive,0.9997851252555848,CBE,1,ok,Other,ok
69,I like it,positive,0.99985933303833,CBE,4,like,Other,I like it
76,very busy I don't know why... I prefer 889,negative,0.9991938471794128,CBE,3,busy know prefer,Other,very busy I don't know why... I prefer 889
79,hojii bonsaadha,positive,0.9568661451339722,CBE,5,hojii bonsaadha,Other,It’s a proud job
81,Awosome!!!,positive,0.6944916844367981,CBE,5,awosome,Other,Awosome!!!
85,I hate this app 😒,negative,0.9996378421783448,CBE,1,hate app,Other,I hate this app 😒
86,trustful,positive,0.9998213648796082,CBE,5,trustful,Other,trustful
87,I like,positive,0.9998149275779724,CBE,5,like,Other,I like
90,oldie,negative,0.6663177013397217,CBE,1,oldie,Other,oldie
91,it doesn't work,negative,0.9997813105583192,CBE,1,work,Other,it doesn't work
94,Yes Yes,positive,0.9997482895851136,CBE,5,yes yes,Other,Yes Yes
95,በጣም ከርፋፋ,negative,0.7850590348243713,CBE,1,በጣም ከርፋፋ,Other,Too worst
105,the most annoying mobile banking app I've ever seen,negative,0.9994208812713624,CBE,1,annoying mobile banking app see,Other,the most annoying mobile banking app I've ever seen
106,Cbe mobile banking,positive,0.8304281234741211,CBE,5,cbe mobile banking,Other,Cbe mobile banking
107,"i can't make Screenshout in this app, please made modification",negative,0.9966920614242554,CBE,5,screenshout app modification,Other,"i can't make Screenshout in this app, please made modification"
111,well satisfied with this beautiful app,positive,0.999858856201172,CBE,5,satisfied beautiful app,Other,well satisfied with this beautiful app
114,"not working,why???",negative,0.9995881915092468,CBE,5,work,Other,"not working,why???"
117,woxe harimo ribiso,negative,0.9374371767044068,CBE,5,woxe harimo ribiso,Other,Woxe including ribiso
129,This app don't have self activation only you have to look near cbe branch that's disgusting,negative,0.9960438013076782,CBE,1,app self activation look near cbe branch disgusting,Other,This app don't have self activation only you have to look near cbe branch that's disgusting
132,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",negative,0.9997019171714784,CBE,1,sorry developer mode application hack sure developer stupid not make sense,Other,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,"
133,the pride of Ethiopian bank 🏦,positive,0.999118983745575,CBE,5,pride ethiopian bank,Other,the pride of Ethiopian bank 🏦
145,CBE mobilr bankg,positive,0.8703056573867798,CBE,5,cbe mobilr bankg,Other,CBE Mobile Banking
147,ممتاز جدا,negative,0.8031745553016663,CBE,5,ممتاز جدا,Other,Very excellent
148,it's very low quality application,negative,0.9996594190597534,CBE,1,low quality application,Other,it's very low quality application
150,አዛ,negative,0.6970565915107727,CBE,1,አዛ,Other,Heza
153,Why stacked sometimes,negative,0.9941052198410034,CBE,5,stack,Other,Why stacked sometimes
154,okay 👍 but sometimes busy,negative,0.8515542149543762,CBE,1,okay busy,Other,okay 👍 but sometimes busy
158,Unreliable!,negative,0.9997379183769226,CBE,1,unreliable,Other,Unreliable!
160,happy,positive,0.99987530708313,CBE,5,happy,Other,happy
161,fast and reliable,positive,0.9998595714569092,CBE,5,fast reliable,Other,fast and reliable
169,do not work this week,negative,0.99776029586792,CBE,3,work week,Other,do not work this week
173,goid,negative,0.7086994647979736,CBE,5,goid,Other,Theft
180,i like the app,positive,0.9994398951530457,CBE,5,like app,Other,i like the app
183,tank's,negative,0.9855976700782776,CBE,5,tank,Other,tank's
191,well app,positive,0.9993765950202942,CBE,5,app,Other,well app
192,Actually it is inactive,negative,0.9996483325958252,CBE,4,actually inactive,Other,Actually it is inactive
194,always CBE is the leading Commercial Bank💪💪💪,positive,0.9975135326385498,CBE,5,cbe lead commercial bank,Other,always CBE is the leading Commercial Bank💪💪💪
195,i like it,positive,0.99985933303833,CBE,5,like,Other,i like it
199,i can't take screenshot,negative,0.9897894263267516,CBE,1,screenshot,Other,i can't take screenshot
202,Fast and Reliable,positive,0.9998595714569092,CBE,5,fast reliable,Other,Fast and Reliable
